dates,maxtemp
2018-01-01,3.8
2018-01-02,1.8
2018-01-03,-0.4
2018-01-04,-0.7
2018-01-05,1.6
2018-01-06,2.9
2018-01-07,2.8
2018-01-08,4
2018-01-09,-1.2
2018-01-10,-4.8
2018-01-11,-7.4
2018-01-12,-5.4
2018-01-13,-1.2
2018-01-14,5.4
2018-01-15,7.7
2018-01-16,6.8
2018-01-17,8.7
2018-01-18,4.5
2018-01-19,5.5
2018-01-20,6.9
2018-01-21,5.5
2018-01-22,4
2018-01-23,-5.3
2018-01-24,-10.7
2018-01-25,-9.5
2018-01-26,-10.7
2018-01-27,-3.5
2018-01-28,-1.2
2018-01-29,-4.7
2018-01-30,-0.8
2018-01-31,0
2018-02-01,1.2
2018-02-02,3.8
2018-02-03,-2.1
2018-02-04,-5.2
2018-02-05,-5.1
2018-02-06,-5.8
2018-02-07,-1.6
2018-02-08,2
2018-02-09,6.1
2018-02-10,3.2
2018-02-11,-2.2
2018-02-12,-1.8
2018-02-13,4.3
2018-02-14,8.7
2018-02-15,4
2018-02-16,4.9
2018-02-17,1.4
2018-02-18,5.2
2018-02-19,6.8
2018-02-20,5.5
2018-02-21,4.4
2018-02-22,5.4
2018-02-23,8.6
2018-02-24,7.2
2018-02-25,7.9
2018-02-26,10.4
2018-02-27,6.9
2018-02-28,7.8
2018-03-01,3
2018-03-02,5.4
2018-03-03,16.2
2018-03-04,11.9
2018-03-05,11.4
2018-03-06,10.9
2018-03-07,10.7
2018-03-08,9.7
2018-03-09,9.6
2018-03-10,9.7
2018-03-11,12.2
2018-03-12,15.5
2018-03-13,18.8
2018-03-14,22.1
2018-03-15,16.6
2018-03-16,12.2
2018-03-17,14
2018-03-18,12.5
2018-03-19,10.4
2018-03-20,9.1
2018-03-21,5.3
2018-03-22,11.6
2018-03-23,12.5
2018-03-24,13.1
2018-03-25,16.9
2018-03-26,18.1
2018-03-27,20
2018-03-28,19
2018-03-29,21.1
2018-03-30,21.9
2018-03-31,20.1
2018-04-01,18.5
2018-04-02,23.7
2018-04-03,21.2
2018-04-04,18.2
2018-04-05,9.5
2018-04-06,8.6
2018-04-07,8.6
2018-04-08,7.9
2018-04-09,15.4
2018-04-10,21.9
2018-04-11,17.3
2018-04-12,19.6
2018-04-13,19.3
2018-04-14,14.8
2018-04-15,14.2
2018-04-16,18.8
2018-04-17,20.1
2018-04-18,19.3
2018-04-19,20.5
2018-04-20,26.3
2018-04-21,25.6
2018-04-22,21
2018-04-23,10.7
2018-04-24,16.1
2018-04-25,23.3
2018-04-26,22.1
2018-04-27,23.3
2018-04-28,21.7
2018-04-29,22.9
2018-04-30,25
2018-05-01,23.3
2018-05-02,19.7
2018-05-03,14.7
2018-05-04,20
2018-05-05,24.6
2018-05-06,20.7
2018-05-07,25.5
2018-05-08,22.9
2018-05-09,21.8
2018-05-10,21.4
2018-05-11,21.3
2018-05-12,16.1
2018-05-13,20
2018-05-14,24.5
2018-05-15,29.3
2018-05-16,24.4
2018-05-17,23.5
2018-05-18,19.3
2018-05-19,24.7
2018-05-20,22.6
2018-05-21,23.7
2018-05-22,23.2
2018-05-23,23.3
2018-05-24,23.7
2018-05-25,26.2
2018-05-26,29.6
2018-05-27,24.7
2018-05-28,29.1
2018-05-29,25.9
2018-05-30,24.7
2018-05-31,27.6
2018-06-01,30.2
2018-06-02,30.1
2018-06-03,30.8
2018-06-04,27.5
2018-06-05,29.2
